SPCODE,ORDER,SUBORDER,FAMILY,FAMILY NAMES,GENUS,SPECIES,COMMON NAME
001,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,peruvianus,Pygmy beaked whale
002,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,attenuata,Pantropical spotted dolphin
003,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris subsp.,unidentified spinner dolphin
004,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,clymene,Clymene dolphin
005,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Delphinus,sp.,Unidentified common dolphin
006,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,attenuata graffmani,Coastal spotted dolphin
007,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Sotalia,fluviatilis,Tucuxi
008,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcaella,brevirostris,Irrawady dolphin
009,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Australophocaena,dioptrica,spectacled porpoise
010,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris orientalis,Eastern spinner dolphin
011,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,longirostris,Whitebelly spinner dolphin
012,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhynchus,albirostris,White-beaked dolphin
013,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Stenella,coeruleoalba,Striped dolphin
014,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhyncus,acutus,Atlantic white-sided dolphin
015,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Steno,bredanensis,Rough-toothed dolphin
016,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Delphinus,capensis,Long-beaked common dolphin
017,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Delphinus,delphis,Short-beaked common dolphin
018,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Tursiops,truncatus,Bottlenose dolphin
019,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Cephalorynchus,heavisidii,Heaviside's dolphin
020,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Cephalorynchus,hectori,Hector's dolphin
021,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Grampus,griseus,Risso's dolphin
022,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhyncus,obliquidens,Pacific white-sided dolphin
023,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhynchus,australis,Peale's dolphin
024,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhynchus,cruciger,Hourglass dolphin
025,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenorhynchus,obscurus,Dusky dolphin
026,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lagenodelphis,hosei,Fraser's dolphin
027,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lissodelphis,borealis,Northern right whale dolphin
028,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Lissodelphis,peronii,Southern right whale dolphin
029,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Cephalorhynchus,eutropia,Black dolphin
030,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Cephalorhynchus,commersonii,Commerson's dolphin
031,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Peponocephala,electra,Melon headed-whale
032,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Feresa,attenuata,Pygmy killer whale
033,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Pseudorca,crassidens,False killer whale
034,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Globicephala,sp.,Unidentified pilot whale
035,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Globicephala,melas,Long-finned pilot whale
036,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Globicephala,macrorhynchus,Short-finned pilot whale
037,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Orcinus,orca,Killer whale
038,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Sousa,chinensis,Indo-Pacific hump-backed
039,CETACEA,ODONTOCETI,DELPHINIDAE,DOLPHINS,Sousa,teuszii,Atlantic hump-backed dolphin
040,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Phocoena,phocoena,Harbor porpoise
041,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Phocoena,sinus,Vaquita
042,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Phocoena,spinipinnis,Burmeister's porpoise
043,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Neophocaena,phocaenoides,Black finless porpoise
044,CETACEA,ODONTOCETI,PHOCOENIDAE,PORPOISES,Phocoenoides,dalli,Dall's porpoise
045,CETACEA,ODONTOCETI,MONODONTIDAE,NARWHAL & WHITE WHALE,Delphinapterus,leucas,Beluga or White whale
046,CETACEA,ODONTOCETI,PHYSETERIDAE,SPERM WHALES,Physeter,macrocephalus,Sperm whale
047,CETACEA,ODONTOCETI,KOGIIDAE,PYGMY & DWARF SPERM WHALES,Kogia,breviceps,Pygmy sperm whale
048,CETACEA,ODONTOCETI,KOGIIDAE,SPERM WHALES,Kogia,simus,Dwarf sperm whale
049,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Unidentified beaked whale,,Unidentified beaked whale
050,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Hyperoodon,planifrons,Southern bottlenose whale
051,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,sp.,Unidentified Mesoplodon
052,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,carlhubbsi,Hubb's beaked whale
053,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,hectori,Hector's beaked whale
054,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,bowdoini,Andrew's beaked whale
055,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,europaeus,Gervais' beaked whale
056,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,bidens,Sowerby's beaked whale
057,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,ginkgodens,Ginkgo-toothed beaked whale
058,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,grayi,Gray's beaked whale
059,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,densirostris,Blaineville's beaked whale
060,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,layardii,Strap-toothed whale
061,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Ziphius,cavirostris,Cuvier's beaked whale
062,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Berardius,arnuxii,Arnoux's beaked whale
063,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Berardius,bairdii,Baird's beaked whale
064,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Tasmacetus,sheperdii,Sheperd's beaked whale
065,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,pacificus,Longman's beaked whale
066,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Eubalaena,glacialis,Northern right whale
067,CETACEA,MYSTICETI,BALAENIDAE,RIGHT WHALES,Balaena,mysticetus,Bowhead whale
068,CETACEA,MYSTICETI,NEOBALAENIDAE,PYGMY RIGHT WHALES,Caperea,marginata,Pygmy right whale
069,CETACEA,MYSTICETI,ESCHRICTIDAE,GRAY WHALE,Eschrictius,robustus,Gray whale
070,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,,Unidentified Rorqual
071,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,acutorostrata,Minke whale
072,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,edeni,Bryde's whale
073,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,borealis,Sei whale
074,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,physalus,Fin whale
075,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Balaenoptera,musculus,Blue whale
076,CETACEA,MYSTICETI,BALAENOPTERIDAE,RORQUALS,Megaptera,novaeangliae,Humpback whale
077,CETACEA,,UNIDENTIFIED,,Unidentified dolphin or porpoise,,Unidentified dolphin or porpoise
078,CETACEA,,UNIDENTIFIED,,Unidentified small whale,,Unidentified small whale
079,CETACEA,,UNIDENTIFIED,,Unidentified large whale,,Unidentified large whale
080,CETACEA,ODONTOCETI,KOGIIDAE,SPERM WHALES,Kogia,sp.,Unidentified Kogia
081,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,stejnegeri,Steigner's beaked whale
082,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,mirus,True's beaked whale
083,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Mesoplodon,sp. A,Unnamed beaked whale
084,CETACEA,ODONTOCETI,ZIPHIIDAE,BEAKED WHALES,Hyperoodon,ampullatus,Northern bottlenose whale
085,CETACEA,ODONTOCETI,MONODONTIDAE,NARWHAL & WHITE WHALE,Monodon,monocerus,Narwhal
